Iteration,Lower_Whisker,Q1,Median,Q3,Upper_Whisker,IQR
1,1622.0,3651.25,4647.5,5781.5,8812.0,2130.25
2,1877.0,4729.75,5753.5,6710.0,8805.0,1980.25
3,3262.875,5598.75,6467.0,7156.0,8810.0,1557.25
4,4045.25,6110.75,6874.5,7487.75,8459.0,1377.0
5,4788.75,6444.0,7058.5,7547.5,8546.0,1103.5
6,5283.5,6709.25,7269.5,7659.75,8444.0,950.5
7,5772.75,6951.75,7368.5,7737.75,8408.0,786.0
8,6031.125,7076.25,7433.5,7773.0,8359.0,696.75
9,6413.0,7231.25,7536.5,7776.75,8383.0,545.5
10,6414.25,7261.75,7618.5,7826.75,8386.0,565.0
11,6664.875,7371.75,7640.5,7843.0,8334.0,471.25
12,6795.5,7447.25,7694.0,7881.75,8372.0,434.5
13,6935.875,7508.5,7714.0,7890.25,8409.0,381.75
14,7042.875,7560.75,7736.5,7906.0,8340.0,345.25
15,7062.875,7568.75,7761.0,7906.0,8372.0,337.25
16,7106.625,7601.25,7786.0,7931.0,8379.0,329.75
17,7209.25,7646.5,7798.0,7938.0,8375.25,291.5
18,7246.875,7671.75,7827.0,7955.0,8355.0,283.25
19,7249.25,7669.25,7831.5,7949.25,8366.0,280.0
20,7343.25,7714.5,7854.0,7962.0,8333.25,247.5
